시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
성남시,성남시 분당동주민센터,경기도 성남시 분당구 분당동 90-2번지 주차장,경기도 성남시 분당구 장안로 37,13583,37.3702469300,127.1433256518,차지비,AC완속
성남시,성남시 태평4동 주민센터,경기도 성남시 수정구 태평동 7292번지 주차장,경기도 성남시 수정구 남문로 134,13279,37.4477055880,127.1414772098,차지비,AC완속
성남시,성남시 복정정수장,경기도 성남시 수정구 복정동 515번지 관리본관동 후면 옥외주차장,경기도 성남시 수정구 성남대로1416번길 22,13117,37.4562700969,127.1307890702,차지비,AC완속
성남시,성남시 분당구청,경기도 성남시 분당구 수내동 1번지 주차장,경기도 성남시 분당구 분당로 50,13594,37.3827271625,127.1189580233,차지비,AC완속
성남시,성남시 수정구보건소,경기도 성남시 수정구 신흥동 3435번지 지하3층 주차장,경기도 성남시 수정구 수정로 218,13346,37.4443151933,127.1440483271,차지비,AC완속
성남시,성남시 중원구청,경기도 성남시 중원구 성남동 3129번지 주차장,경기도 성남시 중원구 제일로 36,13371,37.4304224957,127.1372758351,차지비,AC완속
성남시,성남시 NS홈쇼핑 별관,경기도 성남시 분당구 삼평동 632번지 별관주차타워 6층 8A구역,경기도 성남시 분당구 대왕판교로645번길 36,13487,37.4003836790,127.1020904796,차지비,AC완속
성남시,성남시 백현동 주민센터,경기도 성남시 분당구 백현동 557번지 주차장,경기도 성남시 분당구 동판교로 21,13532,37.3885236341,127.1108402894,차지비,AC완속
성남시,운중동 행정복지센터,경기도 성남시 분당구 운중동 935번지,경기도 성남시 분당구 운중로138번길 10,13466,37.3905739853,127.0779103857,에버온,AC완속
성남시,시콕스타워A동,"경기도 성남시 중원구 상대원동 513-14번지 A동 지하2층 B02, B06기둥",경기도 성남시 중원구 둔촌대로 484,13229,37.4312772840,127.1706271063,에버온,AC완속
성남시,경기성남 판교동행정복지센터,경기도 성남시 분당구 판교동 575번지 지하주차장 입구 장애인주차구역 옆,경기도 성남시 분당구 서판교로32번길 9,13479,37.3899251870,127.0986776297,에버온,AC완속
성남시,성남장애인고용공단본부,"경기도 성남시 분당구 구미동 297-1번지 1주차장(1층주차장,10번기둥옆)",경기도 성남시 분당구 구미로173번길 59,13619,37.3484258828,127.1234331740,에버온,AC완속
성남시,성남시 태평3동 주민센터,경기도 성남시 수정구 태평동 3752-1번지 주차장,경기도 성남시 수정구 남문로 54,13301,37.4453362821,127.1330887585,차지비,AC완속
성남시,성남시 상대원3동 주민센터,경기도 성남시 중원구 상대원동 856번지 주차장,경기도 성남시 중원구 박석로 78,13235,37.4396725414,127.1654468353,차지비,AC완속
성남시,성남시 중앙동 주민센터,경기도 성남시 중원구 중앙동 708번지 주차장,경기도 성남시 중원구 광명로264번길 1,13250,37.4428552080,127.1563096710,차지비,AC완속
성남시,성남시 차량등록사업소,경기도 성남시 분당구 야탑동 135-5번지 주차장,경기도 성남시 분당구 야탑로 327,13509,37.4072528809,127.1538847917,차지비,AC완속
성남시,성남시 수정구청,경기도 성남시 수정구 신흥동 30번지 실내주차장,경기도 성남시 수정구 수정로 283,13259,37.4503054371,127.1457610598,차지비,AC완속
성남시,성남시 성남동 행정복지센터,경기도 성남시 중원구 성남동 1404번지 지하1층 주차장,경기도 성남시 중원구 광명로 89,13356,37.4353205797,127.1384616928,차지비,AC완속
성남시,성남시 고등동주민센터,경기도 성남시 수정구 고등동 378-1번지 주차장,경기도 성남시 수정구 대왕판교로982번길 25,13105,37.4288402809,127.1048447058,차지비,AC완속
